ItiEuropeen	route	longueur	prD	depPrD	concessionPrD	absD	xD	yD	zD	prF	depPrF	concessionPrF	absF	xF	yF	zF
E5	A0010	4091	488	17	C	650	420554,47	6476563,78	0	492	17	C	741	421462,64	6472636,99	0
E5	A0010	50214	492	17	C	741	421462,64	6472636,99	0	542	33	C	955	423042,29	6426856,24	0
E606	A0010	16305	526	33	C	650	429869,29	6440721,73	0	542	33	C	955	423042,29	6426856,24	0
E50	A0011	10503	26	78	C	0	619497,55	6827784,23	0	36	78	C	470	609575,37	6824447,73	0
E50	A0011	84485	36	78	C	470	609575,37	6824447,73	0	120	28	C	982	536837,6	6789604,2	0
E50	A0011	53239	120	28	C	982	536837,6	6789604,2	0	174	72	C	261	487408,15	6774912,77	0
E501	A0011	2264	174	72	C	261	487408,15	6774912,77	0	176	72	C	599	486200,56	6773027,49	0
E501	A0011	47600	176	72	C	599	486200,56	6773027,49	0	224	72	C	199	456370,5	6739160,4	0
E501	A0011	20621	224	72	C	199	456370,5	6739160,4	0	244	49	C	820	448764,48	6721035,37	0
E60	A0011	13128	244	49	C	820	448764,48	6721035,37	0	257	49	C	948	437571,75	6716920,96	0
E501	A0011	5110	252	49	C	838	442126,68	6718795,72	0	257	49	C	948	437571,75	6716920,96	0
E60	A0011	38219	257	49	C	948	437571,75	6716920,96	0	296	49	C	134	402456,78	6709805,02	0
E60	A0011	53854	296	49	C	134	402456,78	6709805,02	0	349	44	C	974	353310,21	6695120,39	0
E5	A0012	6539	0	78	N	573	633703,66	6860621,91	0	6	78	N	685	629650,78	6855535,96	0
E5	A0013	12541	13	78	N	0	633501,19	6860657,62	0	25	78	N	515	626570,99	6869962,8	0
E5	A0013	45166	25	78	N	515	626570,99	6869962,8	0	67	78	C	555	586900,59	6883551,97	0
E5	A0013	39659	67	78	C	555	586900,59	6883551,97	0	107	27	C	214	562763,89	6913843,2	0
E5	A0013	15249	107	27	C	214	562763,89	6913843,2	0	122	76	C	463	549454,82	6917851,73	0
E46	A0013	4463	118	76	C	0	553847,36	6917315,79	0	122	76	C	463	549454,82	6917851,73	0
E402	A0013	4463	118	76	C	0	553847,36	6917315,79	0	122	76	C	463	549454,82	6917851,73	0
E5	A0013	24097	122	76	C	463	549454,82	6917851,73	0	146	27	C	560	526157,69	6922929,6	0
E46	A0013	50186	122	76	C	463	549454,82	6917851,73	0	172	27	C	649	504041,51	6915981,98	0
E402	A0013	8436	122	76	C	463	549454,82	6917851,73	0	130	27	C	899	541583,42	6920549,1	0
E46	A0013	49616	172	27	C	649	504041,51	6915981,98	0	222	14	C	265	459316,87	6901642,65	0
E46	A0016	3815	68	60	C	222	636392,28	6922594,72	0	72	60	C	37	637133,95	6926228,93	0
E44	A0016	2123	121	80	C	74	645264,37	6972382,21	0	123	80	C	197	643797,72	6973849,18	0
E402	A0016	25210	174	80	C	221	614761,53	7005237,45	0	199	80	C	431	607046,01	7027623,34	0
E402	A0016	47058	199	80	C	431	607046,01	7027623,34	0	246	62	C	489	604452,17	7070982,97	0
E402	A0016	30990	50	62	N	0	604452,17	7070982,97	0	82	62	N	100	618142,21	7094238,44	0
E40	A0016	17900	86	62	N	0	621905,87	7093645,57	0	103	62	N	900	639274,34	7095589,05	0
E40	A0016	33756	103	62	N	900	639274,34	7095589,05	0	137	59	N	656	669269,85	7106914,99	0
E511	A0019	30246	0	89	C	0	721424,22	6796755,58	0	29	89	C	880	707948,74	6772130,65	0
E511	A0019	746	29	89	C	880	708206,76	6772266,68	0	30	89	C	623	706579,8	6772620,44	0
E60	A0019	98869	30	89	C	910	706300,62	6772553,1	0	129	45	C	960	613649,27	6772429,69	0
E9	A0020	22838	0	18	N	0	628939,8	6683064,68	0	22	18	N	840	614815,36	6667580,64	0
E9	A0020	97680	23	36	N	0	614815,36	6667580,64	0	119	36	N	1680	579014,66	6584874,58	0
E9	A0020	1405	120	23	N	0	579014,66	6584874,58	0	121	23	N	777	578437,33	6583436,89	0
E9	A0020	13079	122	87	N	0	578437,33	6583436,89	0	134	87	N	1083	575834,06	6571399,47	0
E9	A0020	2390	135	23	N	0	575834,06	6571399,47	0	136	23	N	1101	575344,66	6568859,07	0
E9	A0020	83010	137	87	N	0	575344,66	6568859,07	0	222	87	N	653	583556,4	6495686,81	0
E9	A0020	62792	223	19	N	0	583556,4	6495686,81	0	285	19	N	381	582450,3	6441867,86	0
E70	A0020	16134	254	19	N	0	588246,7	6468133,57	0	269	19	N	995	581588,14	6455295,87	0
E9	A0020	2990	285	19	N	381	582450,3	6441867,86	0	288	19	C	359	583598,2	6439118,7	0
E9	A0020	93672	288	19	C	359	583598,2	6439118,7	0	382	46	C	31	580701,89	6353799,94	0
